STUDENTID,NAME,GENDER,BIRTHDATE,GRADE,CLASS,PHONENUMBER,ADDRESS,PARENTNAME,PARENTPHONENUMBER,CONTACTNAME,CONTACTPHONENUMBER,EMAIL,ENROLLMENTDATE,GRADUATIONDATE,SCORE,REMARK
15,小丽,女,2004-09-03,9,2班,4567890123,北京市东城区1111号,小丽母亲,5678901234,小华,5432109876,xiaohua@example.com,2011-09-01,,77,
16,小明,男,2003-07-07,10,1班,5678901234,北京市朝阳区1212号,小明父亲,6789012345,小丽,4321098765,xiaoli@example.com,2010-09-01,,89,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
9,小明,男,2003-06-02,10,2班,8901234567,北京市朝阳区555号,小明父亲,9012345678,小红,1098765432,xiaohong@example.com,2011-09-01,,84,
10,小华,男,2005-02-14,8,1班,9012345678,北京市海淀区666号,小华父亲,0123456789,小红,0987654321,xiaohua@example.com,2012-09-01,,93,
11,小丽,女,2004-10-20,9,3班,0123456789,北京市西城区777号,小丽母亲,1234567890,小华,9876543210,xiaoli@example.com,2011-09-01,,80,
12,小明,男,2003-08-18,10,2班,1234567890,北京市朝阳区888号,小明父亲,2345678901,小丽,8765432109,xiaoli@example.com,2010-09-01,,87,
13,小红,女,2004-05-23,9,1班,2345678901,北京市海淀区999号,小红母亲,3456789012,小明,7654321098,xiaoming@example.com,2011-09-01,,79,
14,小华,男,2005-01-28,8,3班,3456789012,北京市西城区1010号,小华父亲,4567890123,小红,6543210987,xiaohong@example.com,2012-09-01,,91,
15,小丽,女,2004-09-03,9,2班,4567890123,北京市东城区1111号,小丽母亲,5678901234,小华,5432109876,xiaohua@example.com,2011-09-01,,77,
16,小明,男,2003-07-07,10,1班,5678901234,北京市朝阳区1212号,小明父亲,6789012345,小丽,4321098765,xiaoli@example.com,2010-09-01,,89,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
19,小丽,女,2004-11-29,9,1班,8901234567,北京市东城区1515号,小丽母亲,9012345678,小华,1098765432,xiaohua@example.com,2011-09-01,,81,
20,小明,男,2003-06-14,10,3班,9012345678,北京市朝阳区1616号,小明父亲,0123456789,小丽,0987654321,xiaoli@example.com,2010-09-01,,94,
17,小红,女,2004-10-11,9,3班,6789012345,北京市海淀区1313号,小红母亲,7890123456,小明,3210987654,xiaoming@example.com,2011-09-01,,83,
18,小华,男,2005-04-16,8,2班,7890123456,北京市西城区1414号,小华父亲,8901234567,小红,2109876543,xiaohong@example.com,2012-09-01,,95,
